Qual foi a descoberta de Spallanzani em 1794 que contribuiu para os princípios da ultrassonografia?,A orientação dos morcegos através de ondas sonoras.
Identifique a descoberta científica de Pierre e Jacques Curie em 1880 essencial para a tecnologia de ultrassom.,O efeito piezoelétrico.
Em que ano e por quem foi introduzido o uso do ultrassom na medicina?,"Em 1942, por Dussik."
O que motivou a investigação de Richardson em 1912 sobre a deteção de objetos submersos?,O naufrágio do Titanic.
Qual é o fenómeno físico fundamental no qual se baseia a formação de imagem na ultrassonografia?,A reflexão do som.
Quais são os três componentes principais do processo de ultrassonografia para gerar um diagnóstico?,"Fonte produtora de som, deteção do som e processamento da imagem."
Por que razão a ultrassonografia é considerada um exame não invasivo e seguro?,Porque não utiliza radiação ionizante nem possui efeitos nocivos conhecidos.
Qual é o tempo de jejum recomendado para um exame de ultrassom abdominal em pequenos animais e qual o seu objetivo?,"8 horas, para reduzir a presença de alimento e gás no trato gastrointestinal."
De que forma a ingestão de leite pode prejudicar a qualidade de uma ultrassonografia?,"Pode aumentar a quantidade de gases intestinais, dificultando a passagem do som."
Por que motivo se recomenda que o paciente não urine 1 a 2 horas antes de uma ultrassonografia abdominal?,A bexiga repleta serve como janela acústica para visualizar órgãos hipogástricos e pélvicos.
Quais são os três passos preparatórios físicos essenciais na pele do animal antes de iniciar o exame de ultrassom?,"Tricotomia (tosquia), contenção e aplicação de gel acoplador."
Cite quatro parâmetros avaliados durante a análise ultrassonográfica de um órgão sólido.,"Posição, tamanho, forma e ecogenicidade."
Diferencie o foco da Tomografia Computorizada ($TAC$) em relação à Radiografia convencional.,A $TAC$ utiliza um tubo de raios-X rotativo para criar cortes transversais em vez de imagens bidimensionais estáticas.
O que define o ângulo de inclinação do disco do ânodo rotativo num tubo de raios-X?,"O ângulo, geralmente entre $11^{\circ}$ e $15^{\circ}$, direciona os raios-X para o paciente."
Qual é a consequência mecânica imediata se os rolamentos do rotor de um tubo de raios-X encravarem?,"O calor concentra-se num único ponto (focal spot), fundindo ou rachando o ânodo."
Explique o conceito de coeficiente de atenuação na formação de imagem por raios-X.,É a medição da absorção do feixe de radiação por cada tecido específico de acordo com a sua densidade.
Por que razão o osso aparece branco numa imagem de $TAC$ ou radiografia?,"Devido à sua elevada densidade, o osso atenua (absorve) mais radiação que os tecidos moles."
O que são 'voxels' no contexto da reconstrução de imagem em $TAC$?,São unidades tridimensionais de volume que compõem a imagem seccional reconstruída pelo computador.
Qual é a principal vantagem da utilização de meios de contraste iodados em exames de $TAC$ abdominal?,"Permitem realçar a visualização de veias, artérias e a morfologia de órgãos parenquimatosos."
Defina 'mielograma' no contexto de diagnóstico por imagem avançado.,Injeção de contraste no canal espinal para demonstrar patologias ou compressões da medula espinal.
Qual é o princípio fundamental da Ressonância Magnética ($RM$) para determinar a composição química dos tecidos?,A utilização de campos magnéticos e radiofrequências para manipular os átomos de hidrogénio.
Por que razão a $RM$ é superior à $TAC$ na avaliação do sistema nervoso central?,"Oferece um contraste de tecidos moles muito superior, detalhando melhor o cérebro e a medula espinal."
Qual é o perigo físico mais crítico para o pessoal que entra numa sala de Ressonância Magnética?,"O efeito projétil, onde objetos metálicos são lançados violentamente em direção ao íman."
Explique o funcionamento da Gaiola de Faraday numa sala de Ressonância Magnética.,Serve para blindar a sala contra sinais de rádio externos que causariam artefactos na imagem.
O íman de uma unidade de Ressonância Magnética pode ser desligado facilmente?,"Não, o campo magnético está permanentemente ativo, mesmo quando não se realizam exames."
Qual é a função dos 'gradientes' ($gradient\ coils$) num sistema de $RM$?,Produzem variações controladas no campo magnético para permitir a localização espacial dos sinais.
