Etimologia do termo 'Radiologia'.,Radiação ($radio$) + Estudo ($logia$).
Definição de Radiologia no contexto médico-veterinário.,Ciência que estuda as radiações e a sua aplicação no diagnóstico e outras áreas.
Base física do diagnóstico por ultrassonografia.,Reflexão do som.
Vantagem da ultrassonografia em relação à radiografia quanto à radiação.,A ultrassonografia não utiliza radiação ionizante.
Tipo de anatomia visualizada através do exame de ultrassom.,Anatomia seccional.
Recomendação de jejum alimentar para a realização de um exame de ultrassom abdominal.,8 horas de jejum.
Principal objetivo do jejum pré-ultrassonografia.,Diminuir a presença de alimento e gás no trato gastrointestinal.
Restrição específica de ingestão de líquidos antes de um ultrassom.,"Não ingerir leite, pois pode aumentar a quantidade de gases."
Estado ideal da bexiga para facilitar o exame de órgãos hipogástricos por ultrassom.,A bexiga deve estar repleta.
Procedimento de preparação da pele essencial para o contacto do transdutor no ultrassom.,Tricotomia (depilação) da zona a examinar.
Substância aplicada na pele do paciente para permitir a condução das ondas sonoras no ultrassom.,Gel condutor.
Possíveis decúbitos para o posicionamento de um pequeno animal em ultrassonografia.,"Lateral esquerdo, lateral direito ou dorsal."
Posicionamento preferencial para ultrassom em animais de grande porte.,Posição quadrupedal.
Parâmetros morfológicos avaliados num órgão via ultrassonografia.,"Posição, tamanho, forma, contornos, ecogenicidade e ecotextura."
"Cientista que em 1794 observou a orientação dos morcegos, fundando as bases do ultrassom.",Spallanzani (referido como Spellanzi no texto).
Descoberta feita pelos Curie em 1880 fundamental para o ultrassom.,Efeito piezoelétrico.
Evento histórico de 1912 que impulsionou a pesquisa de objetos submersos por som.,Naufrágio do Titanic.
Cientistas que criaram o primeiro gerador piezoelétrico de ultrassom em 1917.,Langevin e Chilowski.
Ano em que Dussik introduziu o uso do ultrassom na medicina.,1942.
Finalidade do ultrassom na avaliação de doenças hepáticas como a cirrose.,Avaliar alterações na ecogenicidade e arquitetura do parênquima.
Indicação clínica do ultrassom abdominal em casos de suspeita de litíase.,Pesquisa de cálculos renais ou vesicais.
Uso do ultrassom abdominal em oncologia.,Pesquisa de metástases.
O que são meios de contraste radiopacos?,Substâncias de número atómico elevado com alta absorção de raios X.
Cor correspondente ao contraste positivo numa radiografia.,Branco.
O que caracteriza os meios de contraste radiolucentes?,Substâncias de baixa gravidade específica que deixam passar os raios X.
Cor correspondente ao contraste negativo numa radiografia.,Preto.
Principal indicação para o uso de meios de contraste em radiologia.,Identificar ou realçar estruturas com pouco contraste natural com tecidos circundantes.
Princípio técnico fundamental da Tomografia Axial Computadorizada (TAC).,Múltiplos raios X projetados em diferentes ângulos num único plano.
Engenheiro e físico galardoados com o Prémio Nobel em 1979 pelo desenvolvimento da TAC.,Godfrey Hounsfield e Allan Cormack.
Ano de apresentação da primeira imagem de crânio por diagnóstico TAC.,1971.
Indicações primárias para Ressonância Magnética (RM) em cães e gatos.,"Patologias do parênquima cerebral, olho e hérnias discais."
Aplicação clínica comum da Ressonância Magnética em equinos.,Diagnóstico de claudicações crónicas.
Principal desvantagem logística do exame de Ressonância Magnética.,Longa duração do exame (podendo durar horas).
Cuidados térmicos com pequenos pacientes durante exames de RM prolongados.,"Uso de mantas de lã, leggings ou sacos de aquecimento para evitar hipotermia."
Posicionamento típico de um cão para RM de coluna.,"Decúbito dorsal sobre uma bobina espinal dedicada, estabilizado com sacos de areia."
Procedimento inicial na Cintigrafia antes da captura de imagem.,Injeção intravenosa ($EV$) de um radiofármaco com isótopo radioativo.
Tipo de radiação detetada pela câmara num exame de Cintigrafia.,Raios gama.
O que a Cintigrafia permite localizar com precisão no organismo?,"Processos fisiológicos, inflamatórios e metabólicos."
Significado da sigla PET em medicina nuclear.,Tomografia por Emissão de Positrões.
Isótopo radioativo frequentemente utilizado em medicina nuclear para detetar patologias ósseas.,Tecnécio-$99m$.
Equipamento utilizado em medicina nuclear para detetar as emissões do isótopo.,Câmara gama.
Função do marcador radiopaco de tamanho conhecido (régua) em radiografias ortopédicas.,Permitir medições precisas ao compensar a magnificação da imagem.
Qualidade técnica necessária para radiografias torácicas de diagnóstico.,Escala de contraste longa produzida por maior $kVp$ e menor $mAs$.
Equipamento de fluoroscopia utilizado para visualização em tempo real.,Torre de monitorização ($monitor\ tower$).
Diferença entre TAC e radiografia convencional quanto à fonte de imagem.,A TAC utiliza múltiplos feixes de raios X em vez de um raio único.
Aplicação da ecocardiografia na clínica veterinária.,Avaliação funcional e anatómica do coração.
Importância da contenção física ou química em exames de imagem avançada (TAC/RM).,Garantir a imobilidade absoluta do paciente para evitar artefactos de movimento.
O que caracteriza a ecotextura de um órgão ao ultrassom?,O padrão de distribuição dos ecos no interior do parênquima.
Indicação clínica do ultrassom cervical ventral.,"Avaliação de glândulas (ex: tiróide), linfonodos e tecidos moles da região do pescoço."
Utilidade do ultrassom ocular.,Visualização de estruturas intraoculares em casos de opacidade dos meios transparentes (ex: cataratas).
"Em medicina nuclear, o que são radioisótopos?",Átomos instáveis que emitem radiação à medida que decaem para uma forma estável.
Termo para a ciência que estuda os efeitos da radiação nos tecidos vivos.,Radiobiologia.
Conjunto de medidas para minimizar a exposição do pessoal às radiações ionizantes.,Radioproteção.
Consequência da ingestão de alimento antes do ultrassom abdominal.,Sombras acústicas que impedem a visualização de órgãos subjacentes.
